Time,Original_Signal,Filtered_Signal
16.71,-147.55571871227176,-2.7168245335919594
16.72,-145.73251642445854,-2.7496652797320515
16.73,-141.90931413664538,-2.8103906191855774
16.74,-150.0861118488321,-2.8941831180869086
16.75,-150.26290956101894,-2.9948008176721
16.76,-145.43970727320573,-3.104924990319683
16.77,-148.6165049853925,-3.2165179690395096
16.78,-143.79330269757935,-3.321173537644044
16.79,-150.97010040976608,-3.410446269801028
16.8,-149.14689812195292,-3.4761504256523126
16.81,-147.3236958341397,-3.510623095551759
16.82,-144.50049354632648,-3.5069498788438325
16.83,-147.67729125851326,-3.45915422030271
16.84,-147.8540889707001,-3.3623533518665902
16.85,-149.03088668288683,-3.212884474803737
16.86,-145.20768439507367,-3.0084044508922605
16.87,-145.38448210726045,-2.747965117870031
16.88,-147.56127981944724,-2.4320647388971106
16.89,-147.73807753163402,-2.0626743730737696
16.9,-152.91487524382086,-1.6432364691467898
16.91,-144.09167295600759,-1.1786321076358952
16.92,-146.26847066819442,-0.6751133182416286
16.93,-145.4452683803812,-0.1401978031594604
16.94,-145.622066092568,0.4174750401380056
16.95,-143.79886380475477,0.9883260424812539
16.96,-141.9756615169416,1.5620535214315114
16.97,-145.1524592291284,2.127881578682264
16.98,-142.32925694131518,2.674833692558351
16.99,-142.50605465350196,3.1920246411307747
17.0,-143.68285236568875,3.66896274260523
17.01,-139.85965007787559,4.095853463539193
17.02,-146.03644779006237,4.463894605667989
17.03,-140.21324550224915,4.765552582069729
17.04,-139.39004321443593,4.994808833625829
17.05,-140.56684092662272,5.14736537169961
17.06,-139.7436386388095,5.220798946150618
17.07,-142.92043635099634,5.214654566143091
17.08,-146.09723406318312,5.130471049508035
17.09,-139.2740317753699,4.971733818030388
17.1,-139.4508294875567,4.743753149853423
17.11,-137.62762719974347,4.453469519527265
17.12,-139.80442491193025,4.109191576463584
17.13,-140.9812226241171,3.7202767219710005
17.14,-143.15802033630388,3.296768829450185
17.15,-147.33481804849066,2.8490117533221664
17.16,-144.5116157606775,2.387260069743074
17.17,-147.68841347286423,1.9213092929074658
17.18,-148.86521118505107,1.4601662886616116
17.19,-146.04200889723785,1.0117769038331383
17.2,-144.21880660942463,0.5828225088792812
17.21,-143.39560432161142,0.1785910574568106
17.22,-147.57240203379826,-0.19707767069924081
17.23,-145.74919974598498,-0.5417779656731653
17.24,-144.92599745817182,-0.8544641116318342
17.25,-147.1027951703586,-1.1353272638058658
17.26,-146.2795928825454,-1.3856348546696726
17.27,-146.45639059473217,-1.6075436667030027
17.28,-150.633188306919,-1.8038965501495452
17.29,-147.80998601910574,-1.9780113031584297
17.3,-149.98678373129258,-2.133468871347128
17.31,-151.16358144347936,-2.273907062091585
17.32,-148.34037915566614,-2.402825521592911
17.33,-149.51717686785292,-2.5234076971137283
17.34,-145.69397458003976,-2.638365635611685
17.35,-145.8707722922265,-2.7498133988223254
17.36,-150.04757000441333,-2.859174290263475
17.37,-150.2243677166001,-2.967125856607368
17.38,-146.4011654287869,-3.073584856650867
17.39,-152.57796314097374,-3.177732379924052
17.4,-148.75476085316046,-3.278077357405942
17.41,-149.9315585653473,-3.3725550358550036
17.42,-148.10835627753409,-3.458655630543711
17.43,-147.28515398972087,-3.5335772581795024
17.44,-147.46195170190765,-3.5943962583810043
17.45,-148.6387494140945,-3.6382470483267277
17.46,-148.81554712628122,-3.6625027557533056
17.47,-148.99234483846806,-3.6649472320914747
17.48,-154.16914255065484,-3.6439289497390717
17.49,-149.34594026284162,-3.59848799833452
17.5,-146.5227379750284,-3.528449016991772
17.51,-149.69953568721525,-3.4344752861116086
17.52,-147.87633339940197,-3.318081971192824
17.53,-145.0531311115888,-3.18160918202616
17.54,-145.2299288237756,-3.0281576915534414
17.55,-150.40672653596238,-2.861491659056767
17.56,-148.58352424814922,-2.6859135472102755
17.57,-144.760321960336,-2.5061168030276058
17.58,-144.93711967252278,-2.32702204050287
17.59,-149.11391738470957,-2.1536026003592363
17.6,-149.29071509689635,-1.9907055351469987
17.61,-146.46751280908313,-1.8428742827692801
17.62,-143.64431052126997,-1.714179533374729
17.63,-146.82110823345675,-1.6080649647303402
17.64,-142.99790594564354,-1.5272143920610513
17.65,-142.17470365783032,-1.4734461858252734
17.66,-146.3515013700171,-1.4476394195594005
17.67,-143.5282990822039,-1.4496942087485811
17.68,-143.70509679439073,-1.478526388357822
17.69,-150.8818945065775,-1.5320944703217083
17.7,-144.0586922187643,-1.6074551420895031
17.71,-146.23548993095108,-1.7008427061077758
17.72,-143.41228764313786,-1.8077678869627494
17.73,-144.58908535532464,-1.9231321674356447
17.74,-146.76588306751148,-2.041354912086963
17.75,-145.94268077969826,-2.156511648084467
17.76,-143.11947849188505,-2.2624827591420544
17.77,-144.2962762040719,-2.353112374261128
17.78,-146.4730739162586,-2.4223773006468448
17.79,-144.64987162844545,-2.464565384601784
17.8,-143.82666934063224,-2.4744616775884176
17.81,-143.00346705281902,-2.44753931840075
17.82,-144.1802647650058,-2.380150256023115
17.83,-144.35706247719264,-2.2697090077731614
17.84,-144.53386018937937,-2.1148608101908826
17.85,-144.7106579015662,-1.9156240814257033
17.86,-142.887455613753,-1.6734963897511732
17.87,-145.06425332593977,-1.3915133464733147
17.88,-142.24105103812656,-1.0742511043037974
17.89,-143.4178487503134,-0.7277653947483834
17.9,-141.59464646250012,-0.3594631229132703
17.91,-143.77144417468696,0.02209377587057529
17.92,-140.94824188687375,0.40744850467326876
17.93,-139.12503959906053,0.7865658614764642
17.94,-139.3018373112473,1.1491935275311618
17.95,-137.47863502343415,1.4852536290654847
17.96,-139.65543273562093,1.7852477631123191
17.97,-140.83223044780772,2.0406573615670207
17.98,-141.0090281599945,2.244320791518013
17.99,-141.18582587218128,2.3907687637731705
18.0,-138.36262358436812,2.476500306102045
18.01,-137.53942129655485,2.500182792503871
18.02,-136.7162190087417,2.4627615388571655
18.03,-136.89301672092847,2.367467587305152
18.04,-141.06981443311525,2.2197167010375076
18.05,-137.24661214530204,2.0268982170614054
18.06,-138.42340985748888,1.798058934257557
18.07,-137.6002075696756,1.5434941752240738
